"X004_hop_L_01.c3d.11","X008_hop_R_01.c3d.11","X009_Hop_L_01.c3d.11","X012_hop_L_01.c3d.11","X015_Hop_R_01.c3d.11","X016_Hop_R_01.c3d.11","X017_hop_L_01.c3d.11","X018_hop_R_01.c3d.11","X019_hop_L_01.c3d.11","X021_Hop_L_01.c3d.11","X027_hop_R_01.c3d.11","X028_Hop_L_01.c3d.11","X033_hop_R_01.c3d.11","X035_Hop_R_01.c3d.11","X036_Hop_L_01.c3d.11","X037_hop_R_01.c3d.11","X049_hop_R_01.c3d.11","X052_Hop_R_01.c3d.11","X053_hop_L_01.c3d.11","X068_hop_R_01.c3d.11","X070_hop_R_01.c3d.11","X073_hop_R_01.c3d.11","X075_hop_L_01.c3d.11","X080_hop_L_01.c3d.11","X086_Hop_R_01.c3d.11","X092_hop_R_01.c3d.11","X100_hop_R_01.c3d.11","X103_hop_R_01.c3d.11","X111_hop_L_01.c3d.11","X118_hop_R_01.c3d.11","X119_hop_R_01.c3d.11","X128_hop_R_01.c3d.11","X130_Hop_L_01.c3d.11","X149_hop_R_01.c3d.11","X155_hop_R_01.c3d.11","X329_hop_L_01.c3d.11"
NA,24.01067,NA,24.373972,32.074566,23.42522,24.478973,49.259823,13.940621,21.320499,NA,22.052301,11.04375,58.681553,NA,64.835052,12.287293,NA,NA,22.400419,NA,30.167746,61.453064,7.227728,23.461046,29.695566,NA,28.134321,38.299694,38.389004,41.634823,31.892113,27.900324,41.639393,44.195728,46.249664
NA,25.864504,NA,24.469528,31.952101,23.427675,23.449566,50.472691,14.535091,21.748108,NA,22.11183,11.590174,58.917419,NA,64.894714,12.138832,NA,NA,22.370314,NA,30.744137,62.106037,8.45703,23.535545,29.443159,NA,28.346851,38.004787,36.778545,41.514912,31.661921,26.684702,41.272675,43.720047,45.751671
NA,27.809217,NA,24.543325,31.830767,23.434381,22.426983,51.510681,15.288116,22.240759,NA,22.171869,12.16577,59.106819,NA,64.948929,12.00626,NA,NA,22.351786,NA,31.332462,62.729465,9.861316,23.598183,29.223705,NA,28.527382,37.716904,35.075794,41.407387,31.418121,25.383692,40.90834,43.229534,45.141399
NA,29.829729,NA,24.595133,31.710272,23.444557,21.423153,52.359024,16.194094,22.797518,NA,22.232103,12.771334,59.249302,NA,64.997963,11.889302,NA,NA,22.34408,NA,31.916691,63.323383,11.419526,23.648722,29.03406,NA,28.676439,37.432861,33.313446,41.30648,31.162231,24.017864,40.547657,42.725403,44.422783
NA,31.909252,NA,24.625837,31.590336,23.457348,20.451471,53.006218,17.245941,23.416113,NA,22.292103,13.408262,59.344273,NA,65.042236,11.787227,NA,NA,22.346241,NA,32.480721,63.888042,13.111783,23.687323,28.869814,NA,28.796202,37.149113,31.527258,41.205742,30.895283,22.607838,40.19191,42.208679,43.600422
NA,34.028439,NA,24.637283,31.470728,23.471861,19.526709,53.443996,18.434834,24.092794,NA,22.351364,14.078572,59.391113,NA,65.082336,11.698846,NA,NA,22.357153,NA,33.009075,64.424095,14.919621,23.714464,28.72563,NA,28.890408,36.861988,29.754408,41.098495,30.617914,21.173727,39.84235,41.680241,42.679474
NA,36.165131,NA,24.632071,31.351307,23.487196,18.664818,53.667076,19.749756,24.822399,NA,22.409319,14.784917,59.389271,NA,65.118996,11.622543,NA,NA,22.375601,NA,33.487675,64.932732,16.825762,23.73086,28.59556,NA,28.964125,36.567902,28.03166,40.97826,30.330479,19.734625,39.500198,41.14085,41.665543
NA,38.294956,NA,24.613298,31.232037,23.50248,17.882652,53.672848,21.176985,25.598612,NA,22.465382,15.530541,59.338306,NA,65.153053,11.55633,NA,NA,22.400345,NA,33.904484,65.415581,18.813526,23.737381,28.473351,NA,29.023396,36.263565,26.393532,40.839077,30.033169,18.308178,39.166584,40.591202,40.564606
NA,40.392612,NA,24.584318,31.113008,23.51687,17.197546,53.460979,22.69965,26.414412,NA,22.518978,16.319221,59.237946,NA,65.185417,11.49793,NA,NA,22.43021,NA,34.250084,65.874611,20.866013,23.734983,28.352713,NA,29.07476,35.946198,24.870609,40.675789,29.726118,16.910248,38.842529,40.031982,39.382954
NA,42.433632,NA,24.548498,30.99444,23.529585,16.62682,53.033104,24.29752,27.262608,NA,22.569593,17.155151,59.088089,NA,65.217041,11.444901,NA,NA,22.464172,NA,34.517963,66.311806,22.965254,23.724655,28.227573,NA,29.124729,35.613701,23.488176,40.484203,29.409475,15.554708,38.528915,39.463921,38.127213
NA,44.396049,NA,24.50902,30.876675,23.539898,16.187218,52.392506,25.947233,28.136383,NA,22.616783,18.042767,58.888821,NA,65.248833,11.394782,NA,NA,22.50144,NA,34.70462,66.728889,25.091503,23.707363,28.092295,NA,29.179214,35.264793,22.265253,40.261192,29.083466,14.253365,38.22644,38.887829,36.804356
