"X231_hop_R_01.c3d.11","X238_hop_R_01.c3d.11","X250_hop_R_01.c3d.11","X253_hop_R_01.c3d.11","X263_Hop_L_01.c3d.11","X278_hop_R_01.c3d.11","X281_hop_R_01.c3d.11","X283_Hop_L_01.c3d.11","X285_Hop_R_01.c3d.11","X286_hop_L_01.c3d.11","X300_hop_R_01.c3d.11","X302_hop_L_01.c3d.11","X305_hop_R_01.c3d.11","X306_hop_L_01.c3d.11","X309_hop_L_01.c3d.11","X310_hop_R_01.c3d.11","X312_hop_R_01.c3d.11","X318_hop_R_01.c3d.11","X321_hop_R_01.c3d.11","X326_hop_L_01.c3d.11","X328_hop_R_01.c3d.11","X337_hop_R_01.c3d.11","X340_hop_L_01.c3d.11","X341_hop_R_01.c3d.11","X342_hop_L_01.c3d.11","X343_Hop_L_01.c3d.11","X346_Hop_R_01.c3d.11","X354_hop_R_01.c3d.11","X361_hop_R_01.c3d.11","X368_hop_R_01.c3d.11","X399_hop_R_01.c3d.11","X402_hop_R_01.c3d.11"
17.291048,22.226976,17.228657,17.454901,18.327074,30.207369,34.180462,26.173082,25.65827,38.95055,29.071735,32.114929,20.503603,18.263084,24.970711,7.684513,12.072627,19.778799,11.34547,18.191456,17.286482,5.958656,20.501324,6.395253,24.813526,34.548531,21.282705,14.894718,12.405244,12.045153,7.860404,43.975491
17.318047,22.347565,17.218998,17.455509,18.466997,30.143024,34.196609,26.223579,25.697746,39.146782,29.091698,32.110275,20.521687,18.283419,25.08198,7.759514,12.104944,19.834547,11.344627,18.339855,17.295923,5.953487,20.582947,6.387622,25.077415,34.721821,21.269196,14.946926,12.444928,12.059598,7.880475,43.97147
17.34499,22.468235,17.212528,17.459234,18.604908,30.077734,34.211811,26.273958,25.733265,39.341087,29.117352,32.107174,20.539833,18.305365,25.197323,7.838947,12.134522,19.889307,11.34539,18.488056,17.304714,5.950111,20.666428,6.37997,25.344938,34.897446,21.254148,14.998933,12.485893,12.076724,7.902751,43.962372
17.371666,22.589005,17.209957,17.466562,18.740875,30.011938,34.226147,26.324745,25.764275,39.530964,29.148563,32.105698,20.558025,18.328764,25.317137,7.922784,12.16132,19.942829,11.347408,18.634493,17.312273,5.948836,20.751604,6.372345,25.616098,35.07505,21.237595,15.051165,12.527747,12.096413,7.92701,43.947807
17.397852,22.709898,17.211899,17.478014,18.875011,29.946026,34.239777,26.376459,25.790266,39.714176,29.18494,32.105881,20.576223,18.353388,25.441725,8.01081,12.185426,19.994894,11.350368,18.7775,17.318016,5.949928,20.838167,6.364794,25.890955,35.254169,21.219557,15.104074,12.570045,12.11847,7.952949,43.927464
17.423326,22.830917,17.218834,17.494122,19.007494,29.880325,34.25293,26.429602,25.810827,39.888935,29.225809,32.107712,20.594378,18.378952,25.57122,8.10268,12.207063,20.045343,11.353983,18.915335,17.321383,5.953599,20.925676,6.357368,26.169586,35.43425,21.200054,15.158125,12.612298,12.142631,7.980201,43.901138
17.447899,22.952047,17.23106,17.5154,19.138582,29.815069,34.265892,26.48464,25.82568,40.053993,29.270206,32.11116,20.612444,18.405134,25.705563,8.197992,12.226581,20.094088,11.357985,19.046232,17.321871,5.959997,21.013578,6.350118,26.452053,35.614662,21.179104,15.213776,12.65399,12.168557,8.008353,43.86871
17.471418,23.073238,17.248671,17.542324,19.268625,29.750385,34.278999,26.54199,25.834719,40.208652,29.316923,32.116158,20.630394,18.431578,25.844446,8.296334,12.244447,20.141109,11.362117,19.168444,17.319088,5.969189,21.101252,6.343095,26.738346,35.794708,21.156736,15.271463,12.694585,12.195848,8.036971,43.830173
17.493807,23.194401,17.27153,17.575298,19.398085,29.686304,34.292618,26.602009,25.838049,40.352753,29.364571,32.122627,20.648232,18.457903,25.987356,8.397305,12.261228,20.186441,11.366119,19.2803,17.312805,5.981151,21.188025,6.336346,27.028364,35.973675,21.133003,15.331589,12.733549,12.224048,8.065629,43.785622
17.515072,23.315401,17.299284,17.614624,19.527538,29.622755,34.307148,26.664997,25.835985,40.486572,29.411697,32.130478,20.665983,18.483727,26.133589,8.500522,12.27757,20.230145,11.369739,19.38026,17.302998,5.995766,21.273224,6.329912,27.321871,36.150814,21.107979,15.394497,12.77037,12.252659,8.093933,43.735233
